textID,sortedAnswerList
1_1,14
1_2,-1
1_3,-1
1_4,-1
1_5,-1
2_1,39
2_2,-1
2_3,-1
2_4,76
2_5,-1
3_1,8
3_2,4
3_3,-1
3_4,-1
3_5,-1
4_1,8
4_2,8
4_3,-1
4_4,8
4_5,8
5_1,9
5_2,9
5_3,9
5_4,-1
5_5,-1
6_1,14
6_2,14 22
6_3,34
6_4,-1
6_5,-1
7_1,14
7_2,-1
7_3,-1
7_4,51
7_5,-1
8_1,4
8_2,-1
8_3,-1
8_4,-1
8_5,-1
9_1,8
9_2,21
9_3,8 21
9_4,21
9_5,4 21
10_1,4 8
10_2,8
10_3,-1
10_4,-1
10_5,-1
11_1,14
11_2,14 27
11_3,-1
11_4,-1
11_5,-1
12_1,-1
12_2,-1
12_3,17
12_4,4
12_5,-1
13_1,4
13_2,8
13_3,-1
13_4,-1
13_5,-1
14_1,9
14_2,-1
14_3,17 30
14_4,30
14_5,-1
15_1,9
15_2,-1
15_3,-1
15_4,-1
15_5,45
16_1,9
16_2,9 22
16_3,9 22
16_4,9 22
16_5,-1
17_1,4
17_2,4 23
17_3,36
17_4,-1
17_5,-1
18_1,4
18_2,4
18_3,-1
18_4,-1
18_5,-1
19_1,9
19_2,9
19_3,-1
19_4,-1
19_5,-1
20_1,4
20_2,-1
20_3,4
20_4,-1
20_5,-1
21_1,4
21_2,-1
21_3,-1
21_4,4
21_5,-1
22_1,9
22_2,9 22
22_3,9 22
22_4,9 22
22_5,9
23_1,4
23_2,4
23_3,17
23_4,4
23_5,17
24_1,24
24_2,24
24_3,-1
24_4,24
24_5,-1
25_1,4
25_2,-1
25_3,-1
25_4,-1
25_5,-1
26_1,4 8
26_2,-1
26_3,-1
26_4,-1
26_5,-1
27_1,4 8
27_2,8
27_3,-1
27_4,4 8
27_5,-1
28_1,4 8
28_2,-1
28_3,-1
28_4,-1
28_5,-1
29_1,9
29_2,-1
29_3,-1
29_4,9 50
29_5,-1
30_1,24
30_2,24
30_3,24 50
30_4,50
30_5,63
31_1,19
31_2,19
31_3,19 41
31_4,-1
31_5,-1
32_1,4
32_2,-1
32_3,-1
32_4,-1
32_5,-1
33_1,8
33_2,8
33_3,16
33_4,-1
33_5,16
34_1,4
34_2,4
34_3,-1
34_4,-1
34_5,-1
35_1,4
35_2,4
35_3,4
35_4,4
35_5,-1
36_1,19
36_2,19
36_3,-1
36_4,-1
36_5,-1
37_1,9
37_2,9
37_3,-1
37_4,-1
37_5,-1
38_1,14
38_2,14
38_3,-1
38_4,14
38_5,-1
39_1,4
39_2,-1
39_3,-1
39_4,-1
39_5,-1
40_1,49
40_2,57
40_3,-1
40_4,-1
40_5,49
41_1,9
41_2,9
41_3,-1
41_4,-1
41_5,-1
42_1,4
42_2,8 22
42_3,8
42_4,-1
42_5,22
43_1,9
43_2,9
43_3,-1
43_4,-1
43_5,-1
44_1,14
44_2,14 27
44_3,-1
44_4,-1
44_5,-1
45_1,124 160
45_2,-1
45_3,-1
45_4,-1
45_5,-1
46_1,34
46_2,34
46_3,-1
46_4,-1
46_5,-1
47_1,9
47_2,-1
47_3,9
47_4,-1
47_5,-1
48_1,9
48_2,9
48_3,-1
48_4,-1
48_5,44
49_1,9
49_2,9
49_3,-1
49_4,-1
49_5,-1
50_1,4
50_2,-1
50_3,4
50_4,4 17
50_5,-1
51_1,4
51_2,17
51_3,-1
51_4,21
51_5,17
52_1,14
52_2,14 22
52_3,-1
52_4,-1
52_5,-1
53_1,-1
53_2,-1
53_3,-1
53_4,-1
53_5,-1
54_1,4 8
54_2,-1
54_3,-1
54_4,-1
54_5,4
55_1,4 8
55_2,-1
55_3,-1
55_4,-1
55_5,-1
56_1,4 8
56_2,-1
56_3,8
56_4,-1
56_5,-1
57_1,8
57_2,4
57_3,4
57_4,4
57_5,4
58_1,4
58_2,17
58_3,-1
58_4,-1
58_5,-1
59_1,-1
59_2,-1
59_3,-1
59_4,-1
59_5,-1
60_1,24
60_2,24 37
60_3,-1
60_4,37
60_5,73
61_1,14
61_2,-1
61_3,-1
61_4,-1
61_5,-1
62_1,49
62_2,-1
62_3,-1
62_4,49 90
62_5,-1
63_1,8
63_2,-1
63_3,8
63_4,8
63_5,-1
64_1,4
64_2,4
64_3,4
64_4,4
64_5,4 63
65_1,4
65_2,4
65_3,-1
65_4,-1
65_5,-1
66_1,9
66_2,9 17
66_3,9
66_4,44
66_5,-1
67_1,9
67_2,22
67_3,22
67_4,-1
67_5,-1
68_1,4
